index,name,score
397,channel-4 amplitude-landscape-1-2 dim-2,0.0480863820474985
398,channel-4 amplitude-landscape-1-2 norm-1,0.0381623162601724
399,channel-4 amplitude-landscape-1-2 norm-2,0.0371146088312701
400,channel-4 amplitude-landscape-2-1 dim-1,0.0520411141463389
401,channel-4 amplitude-landscape-2-1 dim-2,0.0666811054300996
402,channel-4 amplitude-landscape-2-1 norm-1,0.0608877864803861
403,channel-4 amplitude-landscape-2-1 norm-2,0.0607500293320679
404,channel-4 amplitude-landscape-2-2 dim-1,0.0696552645727875
405,channel-4 amplitude-landscape-2-2 dim-2,0.0408661199089235
406,channel-4 amplitude-landscape-2-2 norm-1,0.002839240855231
407,channel-4 amplitude-landscape-2-2 norm-2,0.0401019217479368
408,channel-4 amplitude-silhouette-1-1 dim-1,0.0245376902497333
409,channel-4 amplitude-silhouette-1-1 dim-2,0.1180613405802918
410,channel-4 amplitude-silhouette-1-1 norm-1,-0.0249051483641537
411,channel-4 amplitude-silhouette-1-1 norm-2,0.0253024225020185
412,channel-4 amplitude-silhouette-1-2 dim-1,0.0100796249304938
413,channel-4 amplitude-silhouette-1-2 dim-2,0.0960318733994532
414,channel-4 amplitude-silhouette-1-2 norm-1,0.006229391815405
415,channel-4 amplitude-silhouette-1-2 norm-2,0.0042229359341541
416,channel-4 amplitude-silhouette-2-1 dim-1,0.0318997117014196
417,channel-4 amplitude-silhouette-2-1 dim-2,0.0467156043664463
418,channel-4 amplitude-silhouette-2-1 norm-1,-0.007369580523311
419,channel-4 amplitude-silhouette-2-1 norm-2,0.0287823766317992
420,channel-4 amplitude-silhouette-2-2 dim-1,0.0134142009127581
421,channel-4 amplitude-silhouette-2-2 dim-2,0.0219827528700827
422,channel-4 amplitude-silhouette-2-2 norm-1,0.0157699136373993
423,channel-4 amplitude-silhouette-2-2 norm-2,0.0145487580663979
424,channel-4 life all max,0.0470021008184517
425,channel-4 life all mean,0.0486297311487408
426,channel-4 life all std,0.086347425399073
427,channel-4 life all sum,0.0506062085698583
428,channel-4 life all norm-1,0.0506062085698583
429,channel-4 life all norm-2,0.1491481767902504
430,channel-4 life dim-1 max,0.0470021008184517
431,channel-4 life dim-1 mean,0.0449618430062969
432,channel-4 life dim-1 std,0.0824633549423902
433,channel-4 life dim-1 sum,0.1708581483600493
434,channel-4 life dim-1 norm-1,0.1708581483600493
435,channel-4 life dim-1 norm-2,0.1472709024893578
436,channel-4 life dim-2 max,-0.0095090147728586
437,channel-4 life dim-2 mean,0.0968651475919146
438,channel-4 life dim-2 std,0.0206552397637051
439,channel-4 life dim-2 sum,0.0751610518377791
440,channel-4 life dim-2 norm-1,0.0751610518377791
441,channel-4 life dim-2 norm-2,0.0359018105966193
442,channel-4 bd2 all max,0.0342679400001405
443,channel-4 bd2 all mean,0.0581719392584051
444,channel-4 bd2 all std,0.0211060676503945
445,channel-4 bd2 all sum,0.1375412635781109
446,channel-4 bd2 all norm-1,0.1375412635781109
447,channel-4 bd2 all norm-2,0.1409214126780692
448,channel-4 bd2 dim-1 max,0.0573761304878011
449,channel-4 bd2 dim-1 mean,0.0535252233265125
450,channel-4 bd2 dim-1 std,0.0219861922419669
451,channel-4 bd2 dim-1 sum,0.0402745099448061
452,channel-4 bd2 dim-1 norm-1,0.0402745099448061
453,channel-4 bd2 dim-1 norm-2,0.0589568251350054
454,channel-4 bd2 dim-2 max,0.0154441553130711
455,channel-4 bd2 dim-2 mean,0.0328746575503695
456,channel-4 bd2 dim-2 std,-0.0021134410156089
457,channel-4 bd2 dim-2 sum,0.0162144973881355
458,channel-4 bd2 dim-2 norm-1,0.0162144973881355
459,channel-4 bd2 dim-2 norm-2,0.0469432026710311
460,channel-5 entropy dim-1,0.126524747790488
461,channel-5 entropy dim-2,0.0213229452345657
462,channel-5 numberofpoints dim-1,0.0717827811516746
463,channel-5 numberofpoints dim-2,0.0494290910295874
464,channel-5 amplitude-bottleneck dim-1,0.0726991916665567
465,channel-5 amplitude-bottleneck dim-2,0.0339053543643191
