index,name,score,mean,variance,unique_values
211,channel-2 amplitude-landscape-1-1 norm-2,0.870146016819963,-4.0757709508227546e-17,1.0,1046
212,channel-2 amplitude-landscape-1-2 dim-1,1.0581394076383492,8.151541901645509e-17,1.0000000000000002,1046
213,channel-2 amplitude-landscape-1-2 dim-2,0.2703904779048946,-7.13259916393982e-17,1.0,1040
214,channel-2 amplitude-landscape-1-2 norm-1,1.0557019170546125,-1.3585903169409181e-17,1.0,1046
215,channel-2 amplitude-landscape-1-2 norm-2,1.0585403092419343,2.4454625704936526e-16,0.9999999999999998,1046
216,channel-2 amplitude-landscape-2-1 dim-1,0.9382104967060093,4.0757709508227546e-17,1.0,1046
217,channel-2 amplitude-landscape-2-1 dim-2,0.3846289679935945,-3.736123371587525e-17,1.0,1040
218,channel-2 amplitude-landscape-2-1 norm-1,0.9313537607921936,-1.49444934863501e-16,1.0,1046
219,channel-2 amplitude-landscape-2-1 norm-2,0.9384553838399086,5.4343612677636724e-17,1.0,1046
220,channel-2 amplitude-landscape-2-2 dim-1,0.9017316055753466,-1.2227312852468263e-16,0.9999999999999998,1046
221,channel-2 amplitude-landscape-2-2 dim-2,0.2833510931089689,1.0529074956292116e-16,1.0,1040
222,channel-2 amplitude-landscape-2-2 norm-1,0.8961324958309378,-3.1247577289641116e-16,1.0,1046
223,channel-2 amplitude-landscape-2-2 norm-2,0.9019692352222666,-3.3964757923522953e-16,1.0,1046
224,channel-2 amplitude-silhouette-1-1 dim-1,1.189849237353188,1.0868722535527345e-16,1.0,1046
225,channel-2 amplitude-silhouette-1-1 dim-2,0.6593985596914519,5.604185057381287e-17,1.0,1040
226,channel-2 amplitude-silhouette-1-1 norm-1,1.1795990510855332,-4.0757709508227546e-17,0.9999999999999998,1046
227,channel-2 amplitude-silhouette-1-1 norm-2,1.1890466727293039,1.3585903169409181e-17,1.0,1046
228,channel-2 amplitude-silhouette-1-2 dim-1,1.1824282311326093,0.0,1.0,1046
229,channel-2 amplitude-silhouette-1-2 dim-2,0.6408207706895248,-8.491189480880738e-17,1.0,1040
230,channel-2 amplitude-silhouette-1-2 norm-1,1.1772277173500927,4.0757709508227546e-17,0.9999999999999996,1046
231,channel-2 amplitude-silhouette-1-2 norm-2,1.1823760930461547,8.151541901645509e-17,1.0000000000000002,1046
232,channel-2 amplitude-silhouette-2-1 dim-1,1.1211605797641504,5.4343612677636724e-17,1.0000000000000002,1046
233,channel-2 amplitude-silhouette-2-1 dim-2,0.6069838803532155,-4.755066109293214e-17,1.0,1040
234,channel-2 amplitude-silhouette-2-1 norm-1,1.0889532927684926,-5.4343612677636724e-17,0.9999999999999998,1046
235,channel-2 amplitude-silhouette-2-1 norm-2,1.1162413246578327,-8.151541901645509e-17,1.0,1046
236,channel-2 amplitude-silhouette-2-2 dim-1,1.1147892235400532,8.151541901645509e-17,1.0,1046
237,channel-2 amplitude-silhouette-2-2 dim-2,0.573835689127752,5.094713688528443e-17,0.9999999999999998,1040
238,channel-2 amplitude-silhouette-2-2 norm-1,1.0988337781572297,-4.0757709508227546e-17,0.9999999999999998,1046
239,channel-2 amplitude-silhouette-2-2 norm-2,1.1138752187906305,6.792951584704591e-17,1.0,1046
240,channel-2 life all max,0.8200704322204638,-3.3964757923522954e-17,1.0,1046
241,channel-2 life all mean,0.47102096083876377,3.3964757923522952e-18,1.0,1046
242,channel-2 life all std,0.6267330258833044,1.9020264437172855e-16,1.0000000000000002,1046
243,channel-2 life all sum,0.37809661481251877,4.0078414349757084e-16,1.0000000000000004,1046
244,channel-2 life all norm-1,0.37809661481251877,4.0078414349757084e-16,1.0000000000000004,1046
245,channel-2 life all norm-2,0.5806803871930456,-2.037885475411377e-16,0.9999999999999998,1046
246,channel-2 life dim-1 max,0.8198424461090023,-5.4343612677636724e-17,1.0000000000000002,1046
247,channel-2 life dim-1 mean,0.41129930478335747,-3.804052887434571e-16,1.0,1046
248,channel-2 life dim-1 std,0.7460424563971022,1.9699559595643313e-16,1.0,1046
249,channel-2 life dim-1 sum,0.4414866826805187,1.5538876750011751e-16,1.0,1046
250,channel-2 life dim-1 norm-1,0.4414866826805187,1.5538876750011751e-16,1.0,1046
251,channel-2 life dim-1 norm-2,0.5359589912830708,-1.2227312852468263e-16,1.0,1046
252,channel-2 life dim-2 max,0.37453753325097394,1.6982378961761476e-16,1.0,1045
253,channel-2 life dim-2 mean,0.4205296006323923,-1.6982378961761477e-17,0.9999999999999998,1046
254,channel-2 life dim-2 std,0.4492435376884545,9.340308428968812e-17,1.0,1046
255,channel-2 life dim-2 sum,0.25608466607686664,-1.6982378961761476e-16,1.0,1046
256,channel-2 life dim-2 norm-1,0.25608466607686664,-1.6982378961761476e-16,1.0,1046
257,channel-2 life dim-2 norm-2,0.09570511841522632,-9.510132218586428e-17,1.0,1046
258,channel-2 bd2 all max,0.4912322710551608,-2.785110149728882e-16,1.0,1046
259,channel-2 bd2 all mean,0.6092023244687629,-5.094713688528443e-16,1.0,1046
260,channel-2 bd2 all std,0.4791797619011664,3.2606167606582037e-16,1.0,1046
261,channel-2 bd2 all sum,0.24202558782264844,-7.47224674317505e-17,1.0,1046
262,channel-2 bd2 all norm-1,0.24202558782264844,-7.47224674317505e-17,1.0,1046
263,channel-2 bd2 all norm-2,0.49692660170653186,-2.139779749181946e-16,1.0,1046
264,channel-2 bd2 dim-1 max,0.5481119756032553,6.792951584704591e-17,1.0,1046
265,channel-2 bd2 dim-1 mean,0.5984129867616126,1.1785770999462465e-15,1.0,1046
266,channel-2 bd2 dim-1 std,0.5704950247315973,5.4343612677636724e-17,1.0,1046
267,channel-2 bd2 dim-1 sum,0.4101939704979365,3.3964757923522953e-16,1.0,1046
268,channel-2 bd2 dim-1 norm-1,0.4101939704979365,3.3964757923522953e-16,1.0,1046
269,channel-2 bd2 dim-1 norm-2,0.4967835447124218,6.7929515847045904e-18,1.0000000000000002,1046
270,channel-2 bd2 dim-2 max,0.365990122178298,4.415418530057984e-17,0.9999999999999998,1046
271,channel-2 bd2 dim-2 mean,0.5018721627197357,-1.749185033061432e-16,1.0000000000000002,1046
272,channel-2 bd2 dim-2 std,0.6796401502707785,2.037885475411377e-16,1.0,1046
273,channel-2 bd2 dim-2 sum,0.2234412319141897,2.0378854754113773e-17,1.0,1046
